param: job_weight processing_time:=
1	3	7
2	16	9
3	12	8
4	20	9
5	4	2
6	20	10
7	2	7
8	12	8
9	10	4
10	18	9
11	3	9
12	3	6
13	18	7
14	18	9
15	8	10
16	9	10
17	3	4
18	7	2
19	13	3
20	5	4
21	13	10
22	10	6
23	8	7
24	3	9
25	14	8
26	11	10
27	11	2
28	8	2
29	4	2
30	9	4
31	19	9
32	6	6
33	8	3
34	17	10
35	17	3
36	17	10
37	13	3
38	10	4
39	4	4
40	14	4
41	19	9
42	20	10
43	18	10
44	2	4
45	14	7
46	8	9
47	5	6
48	12	4
49	16	9
50	6	6
51	4	7
52	10	6
53	5	8
54	13	8
55	12	5
56	9	8
57	10	3
58	5	7
59	8	3
60	15	5
61	14	9
62	2	10
63	5	4
64	12	8
65	15	3
66	9	8
67	15	3
68	2	7
69	7	3
70	9	4
71	19	3
72	4	8
73	14	6
74	3	7
75	6	2
76	18	9
77	8	6
78	7	3
79	19	3
80	20	6
81	4	8
82	4	5
83	18	4
84	7	7
85	19	9
86	5	9
87	4	5
88	8	4
89	5	3
90	12	10
91	18	8
92	7	4
93	11	5
94	17	6
95	8	5
96	2	9
97	17	5
98	7	6
99	6	9
100	5	7
101	16	3
102	14	2
103	18	8
104	19	7
105	18	10
106	13	4
107	5	7
108	6	3
109	7	10
110	15	3
111	13	7
112	8	8
113	12	4
114	8	10
115	16	6
116	11	4
117	14	8
118	11	4
119	3	5
120	15	3
121	9	9
122	15	9
123	6	2
124	7	8
125	4	4
126	17	9
127	3	8
128	4	10
129	18	2
130	3	7
131	15	7
132	2	8
133	14	4
134	9	8
135	7	9
136	7	10
137	15	2
138	20	10
139	11	6
140	16	2
141	6	8
142	13	2
143	18	8
144	7	8
145	11	7
146	10	10
147	12	5
148	19	6
149	15	10
150	4	4
151	20	10
152	5	7
153	13	10
154	7	3
155	11	7
156	17	10
157	15	8
158	3	6
159	13	8
160	3	6
161	10	6
162	6	4
163	3	5
164	19	3
165	12	4
166	15	8
167	12	8
168	15	4
169	20	3
170	14	4
171	4	7
172	16	7
173	15	9
174	13	8
175	18	5
176	4	10
177	6	4
178	2	7
179	18	4
180	2	5
181	17	6
182	16	7
183	10	6
184	2	8
185	17	9
186	10	2
187	10	2
188	20	3
189	8	6
190	10	3
191	4	6
192	19	2
193	13	8
194	13	8
195	15	8
196	9	3
197	6	4
198	18	7
199	11	10
200	9	6;
