param: job_weight processing_time:=
1	4	2
2	10	5
3	15	8
4	4	4
5	13	8
6	10	7
7	4	5
8	11	7
9	14	9
10	3	6
11	10	8
12	5	10
13	20	10
14	3	2
15	9	7
16	19	6
17	12	9
18	15	6
19	15	5
20	10	10
21	5	2
22	2	10
23	9	4
24	14	6
25	19	6
26	2	7
27	15	4
28	4	4
29	8	2
30	5	6
31	13	6
32	2	5
33	20	3
34	5	3
35	11	8
36	12	8
37	5	2
38	2	6
39	9	7
40	2	7
41	18	10
42	10	4
43	13	7
44	10	6
45	18	7
46	5	7
47	18	7
48	2	3
49	17	4
50	19	10
51	2	2
52	17	4
53	12	9
54	14	6
55	15	10
56	10	2
57	7	2
58	5	7
59	11	8
60	7	5
61	2	2
62	18	8
63	19	10
64	10	6
65	19	5
66	16	7
67	4	3
68	13	7
69	19	7
70	10	8
71	2	7
72	3	5
73	19	5
74	7	7
75	9	4
76	4	6
77	6	10
78	4	2
79	13	10
80	17	4
81	20	6
82	9	6
83	14	7
84	2	3
85	3	6
86	17	3
87	5	3
88	6	5
89	9	2
90	12	5
91	5	7
92	5	7
93	6	5
94	20	8
95	12	8
96	3	6
97	18	7
98	4	7
99	5	8
100	13	9
101	9	2
102	4	8
103	15	2
104	12	7
105	7	8
106	17	8
107	8	5
108	3	5
109	20	3
110	2	2
111	15	2
112	19	7
113	16	6
114	16	2
115	4	6
116	17	10
117	13	2
118	11	2
119	16	5
120	8	2
121	6	2
122	13	5
123	16	9
124	13	7
125	8	2
126	5	10
127	3	9
128	2	9
129	4	4
130	8	6
131	7	4
132	16	7
133	11	5
134	4	10
135	12	7
136	19	9
137	9	4
138	17	10
139	10	2
140	8	3
141	4	8
142	5	7
143	12	2
144	2	8
145	19	8
146	15	3
147	8	7
148	6	4
149	7	9
150	16	6
151	12	5
152	14	4
153	17	2
154	11	4
155	3	8
156	19	2
157	7	2
158	4	7
159	18	7
160	14	5
161	19	10
162	20	5
163	20	8
164	5	3
165	13	5
166	10	3
167	4	7
168	19	7
169	13	8
170	9	4
171	9	2
172	12	7
173	3	6
174	3	6
175	12	9
176	19	6
177	5	8
178	11	6
179	19	2
180	12	2
181	15	10
182	2	9
183	7	2
184	2	4
185	7	3
186	9	9
187	3	6
188	3	5
189	16	9
190	9	8
191	16	2
192	14	3
193	15	8
194	10	2
195	20	6
196	19	5
197	6	8
198	10	4
199	9	9
200	18	6
201	8	10
202	6	2
203	5	7
204	10	7
205	14	9
206	18	6
207	6	2
208	7	9
209	10	4
210	17	8
211	14	7
212	17	5
